TheaterMovieId	ShowDatetime	NormalizedAttendance
3741	1447002900.0	30.6719043123
3741	1447176300.0	31.7847406194
3741	1447247700.0	25.2136876524
3741	1447255500.0	36.6085000008
3741	1447434600.0	15.1738350152
3741	1447536000.0	30.3744595223
3741	1447593000.0	36.9388714176
3741	1447600800.0	47.320065006
3741	1447780800.0	2.46969199997
3741	1447861200.0	5.36063985476
3741	1448118000.0	51.425662064
3741	1448133300.0	20.6706862089
3741	1448205300.0	49.0278601799
3741	1448393400.0	7.92868587525
3741	1448464200.0	53.3602063418
3741	1448715000.0	20.6288984716
3336	1400084400.0	11.1030441126
3336	1400091900.0	3.28189641455
3336	1400178900.0	3.0877803705
3336	1400271300.0	6.34609578734
3336	1400346000.0	7.40274045709
3336	1400357700.0	6.58856018667
3336	1400422500.0	5.30167231731
3336	1400438400.0	11.0871128268
3336	1400509500.0	19.6927827119
3336	1400524500.0	11.9747898477
3336	1400588700.0	7.52497592118
3336	1400682000.0	10.5381550443
3336	1400689500.0	16.5930644478
3336	1400860800.0	10.0431705873
3336	1400949300.0	13.9734954681
3336	1400959500.0	14.9225075555
3336	1401027000.0	5.30036486219
3336	1401035100.0	16.8900758107
3336	1401107100.0	6.99554003596
3336	1401120900.0	16.3791220143
3336	1401193500.0	5.01665061412
3336	1401207300.0	14.7396116595
3336	1401294600.0	17.0795852459
3336	1401381000.0	12.2266224056
3336	1401466200.0	29.8866642818
3336	1401552600.0	8.44981169233
3336	1401640200.0	8.85029827917
3336	1401726600.0	14.3831722464
3336	1401798600.0	27.0674167315
3336	1401813000.0	25.7405755818
3336	1423070100.0	18.5835536567
3336	1423164900.0	8.2349704991
3336	1423242900.0	14.8794798712
3336	1423329300.0	5.59719703635
3336	1423408500.0	12.1194172486
3336	1423588500.0	9.82746929994
4120	1429728000.0	44.0899680065
4120	1429806600.0	39.540928537
4120	1429814400.0	31.3569159514
4120	1429893000.0	16.5135963567
4120	1429899600.0	31.4404650191
4120	1429979400.0	13.6301456498
4120	1429986000.0	16.522793943
